id,uid,created_at,first_name,last_name,gender,language,birth_date,email,phone_number,token,city_id,country_id,business_id,device_library_identifier,push_token,device,is_pass_updated,pass_updated_at,last_active_at,apple_last_signaled_at,signedUpBusinessBranchId,referredByCustomerId,is_ghost
1,787c05e8,2026-03-15 19:43:51.000,Andrea,Green,FEMALE,ES,2003-02-27,hernandezrebecca@example.com,+34605302151,fa73c8c1c6214db6af0a63d5558129be,7,1,1,15cad084,017f7888,APPLE,1,2026-03-31 16:56:23.000,2026-05-07 19:43:51.000,2026-05-02 19:43:51.000,1,,0
2,c137563a,2025-01-07 19:43:51.000,Jamie,Franco,FEMALE,ES,2004-06-08,lindseyfuller@example.net,+34648110501,1b8dbd6c3cf847e188df22eed4d25ca0,15,1,1,1c3c5954,cd19f9e8,APPLE,1,2026-05-03 13:07:54.000,2026-02-14 19:43:51.000,2026-02-11 19:43:51.000,1,,0
3,ba1f539f,2025-10-31 19:43:51.000,David,Dean,MALE,ES,1995-04-18,marcus20@example.org,+34655128177,e5bab32c4adb4275988077d6ef835161,6,1,1,ced6a6d3,08d13fff,APPLE,1,2026-03-17 20:40:16.000,2026-04-22 19:43:51.000,2026-04-18 19:43:51.000,2,,0
4,140e1928,2024-08-10 19:43:51.000,Louis,Moody,MALE,ES,1967-11-26,wanda77@example.net,+34697236024,953f81d915ef45f593ea20ed1c8f4381,13,1,1,2327d6d7,c6197af2,APPLE,0,2026-04-24 07:47:44.000,2026-03-18 19:43:51.000,2026-03-16 19:43:51.000,2,,0
5,5e2deb8c,2024-10-03 19:43:51.000,Crystal,Nelson,FEMALE,ES,1966-08-07,cannonhaley@example.org,+34608715647,f81c70f258484a42b12e69995c8f21f1,9,1,1,210ba827,518b73c5,APPLE,1,2026-04-23 23:31:49.000,2025-12-20 19:43:51.000,2025-12-17 19:43:51.000,1,1,0
6,f89de701,2025-10-08 19:43:51.000,Nicholas,Nelson,MALE,ES,1966-03-15,toddlester@example.com,+34641485726,2a7dd286a91b47e29a4002057d96c4c9,1,1,1,7ab5da7c,fc22e814,APPLE,0,2026-03-20 04:30:10.000,2026-01-25 19:43:51.000,2026-01-23 19:43:51.000,2,,0
7,cc775e64,2024-11-01 19:43:51.000,Ryan,Mcintyre,MALE,ES,1998-05-02,maryreyes@example.net,+34676642076,8a4d2b52a942461897ee0422a29ff8fc,11,1,1,c4d2da57,7f5b1176,APPLE,0,2026-04-07 12:23:20.000,2025-12-26 19:43:51.000,2025-12-26 19:43:51.000,1,,0
8,6eba4482,2024-12-19 19:43:51.000,Carrie,Hawkins,FEMALE,ES,1987-10-05,savannahmassey@example.org,+34638687906,121c96fdd5874428a3dc494269d9d302,15,1,1,fd2a6c0a,732ea263,APPLE,1,2026-03-11 15:13:57.000,2025-04-11 19:43:51.000,2025-04-09 19:43:51.000,2,,0
9,457ba72e,2024-08-22 19:43:51.000,Krystal,Jenkins,FEMALE,ES,1988-04-09,egeorge@example.org,+34605089273,7e3ae4abc58d481286d9059f59463ce2,10,1,1,d68da522,5411032d,ANDROID,1,2026-03-14 20:24:51.000,2026-02-24 19:43:51.000,,1,,0
10,4c399884,2024-05-08 19:43:51.000,Deborah,Gonzalez,FEMALE,ES,1985-07-15,kathrynroberts@example.net,+34607897755,a717fb3a4c154656a9b45c63e58a8d12,5,1,1,c5a1e23c,7e4769a2,BOTH,0,2026-04-29 20:30:22.000,2025-01-24 19:43:51.000,2025-01-20 19:43:51.000,1,,0
11,25b8a6fd,2024-10-16 19:43:51.000,Cynthia,Mcintyre,FEMALE,ES,1973-08-24,danielwilliam@example.net,+34632022271,888cfd1af3fd4293b4bf58e59a772e89,2,1,1,7acfc157,d6b3d71a,APPLE,1,2026-04-28 23:27:02.000,2026-04-29 19:43:51.000,2026-04-27 19:43:51.000,1,,0
12,04595ac5,2024-07-26 19:43:51.000,Matthew,Jackson,MALE,ES,1983-03-20,hunterbrown@example.org,+34685144869,5dd094756c2f4ab281f48f3598c8a694,9,1,1,bc8ff67c,88eccb6c,ANDROID,0,2026-04-01 07:26:18.000,2026-01-11 19:43:51.000,,2,3,0
13,78d2d351,2024-05-08 19:43:51.000,Adriana,Ford,FEMALE,ES,1991-10-26,patrick42@example.org,+34680142647,bb787707b0ee42599f79ac6a0b8bce77,14,1,1,,,NONE,0,,2024-08-24 19:43:51.000,,1,,1
14,f54b6904,2026-02-12 19:43:51.000,Susan,Park,FEMALE,ES,1970-07-07,ryanperry@example.com,+34670500493,fb10e07ff5944136bc76d32674c53b42,4,1,1,34bb6b4f,5dc26ab5,APPLE,0,2026-04-28 22:19:08.000,2026-04-14 19:43:51.000,2026-04-13 19:43:51.000,1,,0
15,00fa461d,2025-06-26 19:43:51.000,Crystal,Barron,FEMALE,ES,2001-05-26,hunterlisa@example.com,+34676380839,92c542e979f3442f9d73e231c255bf00,1,1,1,199b9695,5f831baa,ANDROID,1,2026-04-24 04:42:18.000,2026-04-25 19:43:51.000,,1,,0
16,2fdff7dc,2026-01-06 19:43:51.000,Stephen,Crawford,MALE,ES,2003-04-05,castillodanielle@example.org,+34672728129,77578ae96a4d477dae6e3f3a3676cb4a,2,1,1,75b3a74b,ad97c5fc,BOTH,1,2026-03-23 03:42:40.000,2026-04-08 19:43:51.000,2026-04-03 19:43:51.000,2,10,0
17,a564e906,2024-09-09 19:43:51.000,Emily,Carroll,FEMALE,ES,1993-07-21,hollynixon@example.net,+34652728453,b76639c82dc746df95b38cbbb2788a45,10,1,1,365de4f7,d5124eb0,APPLE,1,2026-04-16 05:28:05.000,2026-04-11 19:43:51.000,2026-04-06 19:43:51.000,1,,0
18,3185f48d,2026-01-16 19:43:51.000,Michael,Williamson,MALE,ES,1996-06-25,williamsmark@example.org,+34660208019,ebaddf7422a84b2684a63869c4f0f3d9,14,1,1,c54708a7,c0346c15,ANDROID,1,2026-04-14 12:33:44.000,2026-02-22 19:43:51.000,,2,,0
19,9d9fa2f1,2026-01-19 19:43:51.000,Joseph,Contreras,MALE,ES,1967-05-09,serranochad@example.org,+34689093225,192520a7228644b4b848dc3595bbf2c4,4,1,1,664a9572,f68ab09d,APPLE,0,2026-03-20 05:18:06.000,2026-04-09 19:43:51.000,2026-04-08 19:43:51.000,2,,0
20,07339858,2026-01-30 19:43:51.000,Patricia,King,FEMALE,ES,1987-01-04,traciepace@example.com,+34693545036,e66ca5056109469fa5144af306b0c948,10,1,1,881a1864,ed868afc,APPLE,1,2026-04-12 02:02:37.000,2026-05-06 19:43:51.000,2026-05-02 19:43:51.000,2,,0
21,f0566f61,2025-08-08 19:43:51.000,Benjamin,Swanson,MALE,ES,1980-07-06,lorraine09@example.com,+34696208059,ce953cc3f4b8480a8629889080084e3c,12,1,1,ce06bd62,bb151a1a,APPLE,1,2026-05-08 19:28:24.000,2026-03-10 19:43:51.000,2026-03-09 19:43:51.000,1,,0
22,89c108a3,2025-07-07 19:43:51.000,Scott,Thompson,MALE,ES,1986-10-13,brookebarton@example.net,+34659992012,2d2f3dfe72f8436a93c802e7fb9f7947,4,1,1,abd3cece,18f49ebc,APPLE,1,2026-04-02 21:52:27.000,2026-04-13 19:43:51.000,2026-04-13 19:43:51.000,1,,0
23,73723aad,2025-04-27 19:43:51.000,Charlene,Goodwin,FEMALE,ES,2003-05-21,loriwall@example.net,+34619375919,99ddc224dfeb4198859462fd1d9ab46b,3,1,1,7e35e789,3c7474fa,APPLE,0,2026-04-05 14:27:30.000,2026-03-12 19:43:51.000,2026-03-07 19:43:51.000,1,1,0
24,c4d9e693,2024-12-01 19:43:51.000,Deborah,Mathis,FEMALE,ES,1982-08-11,ramirezalan@example.com,+34628646120,293bb07d8fe744b188895f03b22b4671,15,1,1,354cb7e0,e0e08df6,APPLE,1,2026-03-17 01:12:04.000,2026-04-26 19:43:51.000,2026-04-25 19:43:51.000,2,14,0
25,dc6d83ae,2024-09-01 19:43:51.000,Edward,Hernandez,MALE,ES,1968-04-06,matthew93@example.net,+34611535505,54bd727e14d64c40ab78c78364d3e7dc,2,1,1,5642e17f,177cdc01,APPLE,0,2026-04-22 00:14:10.000,2026-04-19 19:43:51.000,2026-04-18 19:43:51.000,2,,0
26,2a6506cf,2024-06-22 19:43:51.000,Sarah,Gomez,FEMALE,ES,2002-08-21,howardmcdaniel@example.org,+34624792542,a2866c1b599d490f8b71d583fc9a7515,3,1,1,27ec7cc4,3632854b,APPLE,1,2026-04-08 22:12:19.000,2026-05-04 19:43:51.000,2026-05-03 19:43:51.000,1,,0
27,a2586f44,2025-03-24 19:43:51.000,Jennifer,Logan,FEMALE,ES,1972-10-06,spenceramanda@example.net,+34604877067,84dbd71e22ba48f083f1fd8251e4eb4a,11,1,1,d88cd511,aec78bd7,ANDROID,1,2026-04-13 07:07:39.000,2025-12-29 19:43:51.000,,2,,0
28,ef20e7b6,2024-05-08 19:43:51.000,Terry,Gutierrez,MALE,ES,2004-01-06,charlesmartinez@example.net,+34657846408,162782b2b0714eba8b0c7c92f0f16115,6,1,1,7ad662eb,49841154,ANDROID,1,2026-04-25 23:00:34.000,2025-10-16 19:43:51.000,,2,,1
